what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200906151043,"org.eclipse.emf.mapping.ecore2ecore.editor",1288988035484
stopped,bundle,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.editor",1288988035484
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml.ui",1288988035484
stopped,bundle,org.eclipse.emf.mapping.ui,2.5.0.v200906151043,"org.eclipse.emf.mapping.ui",1288988035484
stopped,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1288988035484
stopped,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1288988035484
stopped,bundle,org.eclipse.datatools.connectivity.oda.design,3.2.2.v201001210350,"org.eclipse.datatools.connectivity.oda.design",1288988035484
stopped,bundle,org.eclipse.datatools.modelbase.dbdefinition,1.0.1.v200906022249,"org.eclipse.datatools.modelbase.dbdefinition",1288988035484
stopped,bundle,org.eclipse.datatools.enablement.sybase.models,1.0.0.v200906020900,"org.eclipse.datatools.enablement.sybase.models",1288988035485
stopped,bundle,org.eclipse.datatools.modelbase.derby,1.0.0.v200906020900,"org.eclipse.datatools.modelbase.derby",1288988035485
stopped,bundle,org.eclipse.datatools.modelbase.sql.edit,1.0.0.v200906022249,"org.eclipse.datatools.modelbase.sql.edit",1288988035485
stopped,bundle,org.eclipse.datatools.modelbase.sql.query.edit,1.0.0.v200906022249,"org.eclipse.datatools.modelbase.sql.query.edit",1288988035485
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql.xml.query,1.0.0.v200906022302,"org.eclipse.datatools.sqltools.parsers.sql.xml.query",1288988035485
stopped,bundle,org.eclipse.datatools.modelbase.sql.xml.query,1.0.0.v200906022249,"org.eclipse.datatools.modelbase.sql.xml.query",1288988035486
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql.query,1.0.1.v200906022302,"org.eclipse.datatools.sqltools.parsers.sql.query",1288988035486
stopped,bundle,org.eclipse.datatools.sqltools.parsers.sql,1.0.1.v200906022302,"org.eclipse.datatools.sqltools.parsers.sql",1288988035486
stopped,bundle,org.eclipse.datatools.modelbase.sql.query,1.0.2.v201002020730,"org.eclipse.datatools.modelbase.sql.query",1288988035486
stopped,bundle,org.eclipse.datatools.modelbase.sql,1.0.3.v200912150851,"org.eclipse.datatools.modelbase.sql",1288988035486
stopped,bundle,org.eclipse.emf.databinding.edit,1.1.0.v200906151043,"org.eclipse.emf.databinding.edit",1288988035486
stopped,bundle,org.eclipse.emf.databinding,1.1.0.v200906151043,"org.eclipse.emf.databinding",1288988035486
stopped,bundle,org.eclipse.emf.ecore.change.edit,2.5.0.v200906151043,"org.eclipse.emf.ecore.change.edit",1288988035486
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2ecore",1288988035486
stopped,bundle,org.eclipse.emf.ecore.edit,2.5.0.v200906151043,"org.eclipse.emf.ecore.edit",1288988035486
stopped,bundle,org.eclipse.emf.mapping,2.5.0.v200906151043,"org.eclipse.emf.mapping",1288988035486
stopped,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1288988035486
stopped,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.301.v200908101600,"org.eclipse.wst.common.emfworkbench.integration",1288988035486
stopped,bundle,org.eclipse.xsd.edit,2.5.0.v200906151043,"org.eclipse.xsd.edit",1288988035486
stopped,bundle,org.eclipse.emf.edit,2.5.0.v200906151043,"org.eclipse.emf.edit",1288988035486
stopped,bundle,org.eclipse.emf.ecore.change,2.5.0.v200906151043,"org.eclipse.emf.ecore.change",1288988035486
stopped,bundle,org.eclipse.emf.mapping.ecore2xml,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml",1288988035486
stopped,bundle,org.eclipse.wst.common.emf,1.1.301.v200908181930,"org.eclipse.wst.common.emf",1288988035486
